       JobID    Elapsed      NCPUS  AllocCPUS    CPUTime   TotalCPU     ReqMem   NTasks      State      User 
------------ ---------- ---------- ---------- ---------- ---------- ---------- -------- ---------- --------- 
4060_12.bat+   00:00:10          8          8   00:01:20   00:00:00        2Gc        1  COMPLETED           
4060_13        00:00:03          8          8   00:00:24   00:00:00        2Gc           COMPLETED student05 
4060_13.bat+   00:00:03          8          8   00:00:24   00:00:00        2Gc        1  COMPLETED           
4060_14        00:00:09          8          8   00:01:12   00:00:00        2Gc           COMPLETED student05 
4060_14.bat+   00:00:09          8          8   00:01:12   00:00:00        2Gc        1  COMPLETED           
4060_15        00:00:03          8          8   00:00:24   00:00:00        2Gc           COMPLETED student05 
4060_15.bat+   00:00:03          8          8   00:00:24   00:00:00        2Gc        1  COMPLETED           
4060_16        00:00:09          8          8   00:01:12   00:00:00        2Gc           COMPLETED student05 
4060_16.bat+   00:00:09          8          8   00:01:12   00:00:00        2Gc        1  COMPLETED           
4060_17        00:00:04          8          8   00:00:32   00:00:00        2Gc           COMPLETED student05 
4060_17.bat+   00:00:04          8          8   00:00:32   00:00:00        2Gc        1  COMPLETED           
4060_18        00:00:09          8          8   00:01:12   00:00:00        2Gc           COMPLETED student05 
4060_18.bat+   00:00:09          8          8   00:01:12   00:00:00        2Gc        1  COMPLETED           
4060_19        00:00:03          8          8   00:00:24   00:00:00        2Gc           COMPLETED student05 
4060_19.bat+   00:00:03          8          8   00:00:24   00:00:00        2Gc        1  COMPLETED           
4060_20        00:00:08          8          8   00:01:04   00:00:00        2Gc           COMPLETED student05 
4060_20.bat+   00:00:08          8          8   00:01:04   00:00:00        2Gc        1  COMPLETED           
4060_21        00:00:02          8          8   00:00:16   00:00:00        2Gc           COMPLETED student05 
4060_21.bat+   00:00:02          8          8   00:00:16   00:00:00        2Gc        1  COMPLETED           
4060_22        00:00:08          8          8   00:01:04   00:00:00        2Gc           COMPLETED student05 
4060_22.bat+   00:00:08          8          8   00:01:04   00:00:00        2Gc        1  COMPLETED           
4060_23        00:00:04          8          8   00:00:32   00:00:00        2Gc           COMPLETED student05 
4060_23.bat+   00:00:04          8          8   00:00:32   00:00:00        2Gc        1  COMPLETED           
4062_0         00:02:21          8          8   00:18:48   00:00:00       30Gn           COMPLETED student05 
4062_0.batch   00:02:21          8          8   00:18:48   00:00:00       30Gn        1  COMPLETED           
4062_1         00:02:13          8          8   00:17:44   00:00:00       30Gn           COMPLETED student05 
4062_1.batch   00:02:13          8          8   00:17:44   00:00:00       30Gn        1  COMPLETED           
